service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Artifact Registry,Artifact Registry Network Inter Region Egress North America to North America,1,,149C-F9EC-3994,173D-B415-5815,0.01,
Artifact Registry,Artifact Registry Storage,5,global,149C-F9EC-3994,8502-299A-ABAF,0.45,
Cloud Run  (Cloud Run),Services CPU (Request-based billing),37500000,global,152E-C115-5142,4856-B847-F1EB,0.9,
Cloud Run  (Cloud Run),Services Memory (Request-based billing),4687500,global,152E-C115-5142,02A2-9231-36A6,0.01172,
Cloud Run  (Cloud Run),Services Min Instance CPU (Request-based billing),2590500,global,152E-C115-5142,7EBB-8579-2C98,6.47625,
Cloud Run  (Cloud Run),Services Min Instance Memory (Request-based billing),323812.5,global,152E-C115-5142,740D-08F2-7A11,0.80953,
Cloud Run  (Cloud Run),Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,3.2,
Cloud Logging (Cloud Operations),Log Storage cost,50,global,5490-F7B7-8DF6,143F-A1B0-E0BE,0,
Cloud Logging (Cloud Operations),Log Retention cost,100,global,5490-F7B7-8DF6,F4AE-5A52-ACE3,1,
,Metric Volume,0,global,58CD-E7C3-72CA,A924-09D0-8854,0,
,,,,,,,
,,,,,Total Price:,12.8575,
,,,,,,,
"Prices are in US dollars, effective date is 2025-06-30T18:31:58.134Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVEwT0dRNVl6STJOaTFoWTJFNExUUmxaVFV0T1dFNU55MW1Oell5TkRJM09URXlOVGdRQVE9PRokNkZGOTJDQTMtNEE1MS00ODc1LUE0NTctQzk2RkY5MUI0NDVG,,,,,,
